# masculino|feminino|outro,# marca,# nome do tênis,# URL da imagem,# emoji,# tag1|tag2,# R$ 000,# ate300 / 300a600 / 600a1000 / acima1000,# iniciante|intermediario|avancado,# neutra|pronada|supinada|naosabe,# asfalto|trilha|pista|esteira|mista,# amortecimento|leveza|durabilidade|custo,# motivo da recomendação,# link afiliado Amazon,popular,# link Loja Oficial Marca,# link afiliado Netshoes
masculino,ASICS,Gel-Nimbus 26,https://images-na.ssl-images-amazon.com/images/I/61EYOnNOMbL.jpg,👟,Amortecimento|Neutro,R$1.300,acima1000,iniciante|intermediario,neutra|naosabe,asfalto|esteira|mista,amortecimento,Amortecimento FlyteFoam excepcional. Ideal para iniciantes que precisam de proteção extra nas articulações.,https://amzn.to/3OP4Dzd,sim,-,-
feminino,ASICS,Gel-Nimbus 26,https://m.media-amazon.com/images/I/61aPga42FKL._AC_SY500_.jpg,👟,Amortecimento|Neutro,"R$1.796,17",acima1000,iniciante|intermediario,neutra|naosabe,asfalto|esteira|mista,amortecimento,Amortecimento FlyteFoam excepcional para longas distâncias. Proteção articular superior para corredoras.,https://amzn.to/4ugSqmP,sim,-,-
masculino,ASICS,Gel-Trabuco 12,https://images-na.ssl-images-amazon.com/images/I/61wuJhpSxgL.jpg,👟,Trilha|Híbrido,R$1.398,acima1000,iniciante|intermediario,neutra|pronada,trilha|esteira|mista,custo|durabilidade,Proteção no bico e solado com travas. Funciona bem em trilhas leves e estradas mistas.,https://amzn.to/3NhE4Cb,,-,-
masculino,ASICS,Gel-Pulse 15 SE ,https://m.media-amazon.com/images/I/511jmvCr1BL._AC_SY500_.jpg,👟,GEL|Custo-benefício|Diário,R$469,300a600,iniciante|intermediario,neutra|naosabe,asfalto|pista|esteira|mista,amortecimento|custo|durabilidade,GEL no calcanhar + FlyteFoam leve. Ótimo custo-benefício para o dia a dia. Cabedal respirável e durável para treinos regulares.,https://amzn.to/4rT89qU,,,
feminino,ASICS,Gel-Venture 10,https://m.media-amazon.com/images/I/617GtsqxJmL._AC_SY625_.jpg,👟,Amortecimento|Trilha|Durabilidade,"R$699,90",600a1000,iniciante|intermediario,neutra,trilha|asfalto|mista,amortecimento|durabilidade,Tecnologia GEL ASICS com excelente amortecimento e tração para trilha e asfalto,https://amzn.to/4rSbMx8,,,
feminino,NEW BALANCE,FuelCell Rebel V5,https://m.media-amazon.com/images/I/71AhLqeaRrL._AC_SX500_.jpg,👟,Amortecimento|Trilha|Durabilidade,"$989,79",600a1000,iniciante|intermediario,neutra,trilha|asfalto|mista,amortecimento|durabilidade,Tecnologia GEL ASICS com excelente amortecimento e tração para trilha e asfalto,https://amzn.to/4liLXE5,,,
feminino,ASICS,Gel-Shinobi 2,https://m.media-amazon.com/images/I/51fjXmKBuTL._AC_SX522_.jpg,👟,Amortecimento|Durabilidade,"R$399,99",300a600,iniciante|intermediario,neutra,asfalto|esteira|mista,amortecimento|durabilidade,"Tecnologia GEL na entressola EVA para absorção de impacto, cabedal mesh respirável e solado emborrachado resistente",https://amzn.to/4da3rAm,,,
feminino,ASICS,Gel-Kayano 32 ,https://m.media-amazon.com/images/I/61fz1ft0bDL._AC_SY500_.jpg,👟,Amortecimento|Estabilidade|Longa distância,"R$1.718,19",acima1000,intermediario|avancado,pronada,asfalto|esteira|mista,amortecimento|estabilidade|durabilidade,"4D Guidance System com espuma FF BLAST PLUS para estabilidade máxima, ideal para longas distâncias e corredoras com pisada pronada",https://amzn.to/4uizqob,,,
masculino,BROOKS,Adrenaline GTS 24 Supportive,https://images-na.ssl-images-amazon.com/images/I/71EJN-HyMWL.jpg,👟,GuideRails|Suporte,R$987,600a1000,iniciante|intermediario|avancado,pronada|neutra,asfalto|esteira|mista,amortecimento|durabilidade,GuideRails exclusivo suporta o excesso de movimento sem travar a pisada natural. Indicado por fisios.,https://amzn.to/4u7e6Sr,,-,-
masculino,BROOKS,Adrenaline GTS 24 Weatherized,https://m.media-amazon.com/images/I/71JfCH+M+jL._AC_SY500_.jpg,👟,GuideRails|Suporte,R$945,600a1000,iniciante|intermediario|avancado,pronada|neutra,asfalto|esteira|mista,amortecimento|durabilidade,O tênis de controle mais recomendado por fisioterapeutas. GuideRails adapta ao movimento único de cada corredora.,https://amzn.to/4sgDgwi,,-,-
masculino,BROOKS,Ghost 16,https://images-na.ssl-images-amazon.com/images/I/81Kt56apbuL.jpg,👟,Neutro|Diário,R$1.315,acima1000,iniciante|intermediario,neutra|naosabe,asfalto|pista|esteira|mista,amortecimento|custo,DNA Loft v3 oferece maciez consistente do início ao fim do treino. Ótimo tênis de treino diário.,https://amzn.to/4aYytsk,,-,-
feminino,BROOKS,Ghost 14 Neutral,https://m.media-amazon.com/images/I/81FrDKqWbIL._AC_SY500_.jpg,👟,Amortecimento|Durabilidade|Trilha,"R$1.326,63",acima1000,iniciante|intermediario,neutra,trilha|mista|asfalto,amortecimento|durabilidade,"Amortecimento DNA LOFT com solado de garras para trilha leve, combina o conforto de um tênis de rua com tração fora do asfalto",https://amzn.to/4srKmhs,,,
feminino,FILA,Float Maxxi ,https://m.media-amazon.com/images/I/51DEAqmvGdL._AC_SY625_.jpg,👟,Amortecimento|Corrida,"R$539,90",300a600,iniciante|intermediario|avancado,neutra|pronada,asfalto|esteira|mista,amortecimento|custo,Alto amortecimento FLOAT com ótimo custo-benefício para corridas em asfalto,https://amzn.to/4aZSxMh,,,
masculino,FILA,Racer Fastpace ,https://m.media-amazon.com/images/I/517Z6pntJHL._AC_SY625_.jpg,👟,Amortecimento|Durabilidade,"R$279,90",ate300,iniciante|intermediario,neutra,asfalto|esteira|mista,,amortecimento|durabilidade|custo,https://amzn.to/40WKcTq,,,
feminino,FILA,Racer Comet ,https://m.media-amazon.com/images/I/61rKjTIK4SL._AC_SY625_.jpg,👟,Amortecimento|Estabilidade,"R$299,99",ate300,iniciante|intermediario,neutra,asfalto|esteira|mista,amortecimento|durabilidade,Solado maximalista com entressola EVA e ponteiras TPU para amortecimento e estabilidade em corridas de até 10km,https://amzn.to/4aXF5sb,,,
feminino,FILA,Recovery ,https://m.media-amazon.com/images/I/51Y79XZ2xcL._AC_SY500_.jpg,👟,Amortecimento|Estabilidade,"R$329,90",300a600,iniciante|intermediario,neutra,asfalto|esteira|mista,amortecimento|custo,"Solado Energized Rubber da linha Float transforma impacto em propulsão, com cabedal mesh e contraforte estruturado para estabilidade",https://amzn.to/4s0yCmo,,,
masculino,HOKA,Bondi 8,https://images-na.ssl-images-amazon.com/images/I/71cO3lBXuML.jpg,👟,Máximo Amortecimento|Recovery,R$1.249,acima1000,iniciante|intermediario|avancado,neutra|naosabe|supinada,asfalto|esteira|mista,amortecimento,O rei do amortecimento máximo. Perfeito para dias de recuperação ou corredores que precisam de proteção extra.,https://amzn.to/409HQk0,,-,-
masculino,HOKA,Bondi 8 Road,https://m.media-amazon.com/images/I/514X0mOyFtL._AC_SX500_.jpg,👟,Máximo Amortecimento|Recovery,R$1.781,acima1000,iniciante|intermediario|avancado,neutra|naosabe|supinada,asfalto|esteira|mista,amortecimento,Amortecimento máximo para recuperação ativa ou corredoras que precisam de proteção articular extra.,https://amzn.to/4stApQS,,-,-
masculino,HOKA,Clifton 9,https://images-na.ssl-images-amazon.com/images/I/61Gkm+6EdqL.jpg,👟,Maxi-Soft|Leve,R$1.120,acima1000,iniciante|intermediario|avancado,neutra|naosabe,asfalto|esteira|mista,amortecimento|leveza,Amortecimento máximo com peso surpreendentemente baixo. Ótimo para treinos longos e recuperação.,https://amzn.to/4u9y3YW,,-,-
masculino,HOKA,Clifton 9,https://m.media-amazon.com/images/I/61IG0fi5z+L._AC_SY500_.jpg,👟,Maxi-Soft|Leve,R$1.299,acima1000,iniciante|intermediario|avancado,neutra|naosabe,asfalto|esteira|mista,amortecimento|leveza,Amortecimento máximo com leveza surpreendente. Ótimo para treinos longos e recuperação ativa.,https://amzn.to/4ssofHW,,-,-
masculino,HOKA,Speedgoat 6,https://images-na.ssl-images-amazon.com/images/I/71pT4bBn39L.jpg,👟,Ultra Trail|Conforto,R$1.233,acima1000,intermediario|avancado,neutra|naosabe,trilha|esteira|mista,amortecimento,Favorito dos ultramaratonistas: amortecimento generoso com grip confiável nas piores condições.,https://amzn.to/3Pe4Age,,-,-
masculino,MIZUNO,Wave Inspire 21,https://m.media-amazon.com/images/I/71qHhWE-T7L._AC_SY500_.jpg,👟,Suporte|Pronação,R$650,600a1000,iniciante|intermediario,pronada,asfalto|pista|esteira|mista,amortecimento|durabilidade,"Suporte Wave duplo para pronadores. Mais macio que o Wave Creation, ideal para treinos longos.",https://amzn.to/4b5N32t,,https://tidd.ly/4umRr4C,-
masculino,MIZUNO,Wave Rider 28,https://m.media-amazon.com/images/I/51qUaqEvrkL._AC_SY500_.jpg,👟,Wave Plate|Responsivo|Durável,"R$549,99",300a600,iniciante|intermediario,neutra|supinada,asfalto|pista|esteira|mista,custo|durabilidade,Placa Wave entrega estabilidade e suavidade juntas. Excelente custo-benefício e muito durável.,https://amzn.to/4lpGIm5,,https://tidd.ly/40tllXn,-
masculino,MIZUNO,Wave Sky 9,https://m.media-amazon.com/images/I/61Opa1W1J8L._AC_SY500_.jpg,👟,Maxi Amortecimento|Premium,"R$1.199,99",acima1000,intermediario|avancado,neutra|naosabe,asfalto|esteira|mista,amortecimento,O tênis de maior amortecimento da Mizuno. Wave Sky + Enerzy Foam para longas distâncias em total conforto.,https://amzn.to/3OW1QEr,,https://tidd.ly/4diuTvL,-
unissex,MIZUNO,Victory RSP,https://static.dafiti.com.br/p/Mizuno-T%C3%AAnis-Mizuno-Victory-Rsp-Feminino-Rosa-3494-64013441-1-zoom.jpg,👟,Response Foam|Leve|Versátil,R$407,300a600,iniciante|intermediario,neutra|naosabe,asfalto|pista|esteira|mista,custo|leveza,Response Foam gera mais retorno de energia e leveza. Cabedal Jacquard respirável e solado X10 durável. Ótima entrada na corrida com tecnologia Mizuno.,https://amzn.to/4rhgGT7,,https://tidd.ly/4dcnka0,
feminino,NEW BALANCE,413v3,https://images-na.ssl-images-amazon.com/images/I/51ZDUR2ZkHL.jpg,👟,Entrada|Respirável,R$279,ate300,iniciante,neutra|naosabe|pronada,asfalto|pista|esteira|mista,custo,Ótima entrada no mundo da corrida. Cabedal respirável e amortecimento ABZORB para o dia a dia.,https://amzn.to/4b9gSht,,-,-
feminino,NEW BALANCE,411v3,https://m.media-amazon.com/images/I/515WrXH2TYL._AC_SY300_SX300_QL70_ML2_.jpg,👟,Entrada|Respirável,R$279,ate300,iniciante,neutra|naosabe|pronada,asfalto|pista|esteira|mista,custo,Ótima entrada no mundo da corrida. Cabedal respirável e amortecimento ABZORB para quem está começando.,https://amzn.to/4lguc8w,,-,-
masculino,NEW BALANCE,M860v14,https://images-na.ssl-images-amazon.com/images/I/61OXLcyTklL.jpg,👟,Estabilidade|Pronação,R$1.037,acima1000,iniciante|intermediario,pronada,asfalto|pista|esteira|mista,custo|durabilidade,Referência em controle de pronação com ótimo custo-benefício. Suporte medial confiável e confortável.,https://amzn.to/47lOeZa,,-,-
masculino,NEW BALANCE,Fresh Foam X 1080 V14,https://images-na.ssl-images-amazon.com/images/I/51aLwIrAcvL.jpg,👟,Fresh Foam|Longa Distância,R$1.935,acima1000,intermediario|avancado,neutra|pronada,asfalto|mista,amortecimento,Fresh Foam X — o mais macio da NB. Perfeito para longas distâncias sem fadiga articular.,https://amzn.to/4rcfUHd,sim,-,-
masculino,NEW BALANCE,M860v14,https://m.media-amazon.com/images/I/61yRHJJzjrL._AC_SY500_.jpg,👟,Estabilidade|Pronação,R$1.037,acima1000,iniciante|intermediario,pronada,asfalto|pista|esteira|mista,custo|durabilidade,Controle de pronação com excelente custo-benefício. Suporte medial confiável e confortável.,https://amzn.to/4aYFkly,,-,-
feminino,NEW BALANCE,Fresh Foam X 1080 V14,https://m.media-amazon.com/images/I/51Z+ohQHSIL._AC_SY625_.jpg,👟,Amortecimento|Conforto,"R$808,11",600a1000,iniciante|intermediario,neutra,asfalto|esteira|mista,amortecimento|leveza,Tecnologia Fresh Foam com amortecimento macio e leveza para treinos diários e longas distâncias,https://amzn.to/4rknGyU,sim,,
masculino,NIKE,Pegasus 41,https://images-na.ssl-images-amazon.com/images/I/71r5ZHElneL.jpg,👟,Clássico|Versátil,R$1.346,acima1000,iniciante|intermediario|avancado,neutra|naosabe,asfalto|pista|esteira|mista,custo|durabilidade,"O tênis de corrida mais vendido do mundo. Versátil, durável e confortável para qualquer treino.",https://amzn.to/4bnDb44,sim,-,-
masculino,NIKE,Reactx Infinity Run 4,https://images-na.ssl-images-amazon.com/images/I/71RUemZxatL.jpg,👟,Estabilidade|Anti-lesão,R$1.396,acima1000,iniciante|intermediario,neutra|naosabe,asfalto|pista|esteira|mista,amortecimento|durabilidade,Projetado para reduzir lesões. ReactX + Flyknit criam suporte e maciez difícil de bater.,https://amzn.to/4cYE30i,,-,-
unissex,NIKE,Reactx Infinity Run 4,https://m.media-amazon.com/images/I/51YiODrVayL._AC_SX500_.jpg,👟,Anti-lesão|Suporte,R$1.284,acima1000,iniciante|intermediario,neutra|naosabe,asfalto|pista|esteira|mista,amortecimento|durabilidade,Projetado para reduzir lesões. ReactX + Flyknit criam suporte e maciez difícil de bater.,https://amzn.to/3MHgLl9,,-,-
masculino,NIKE,Vaporfly 3,https://images-na.ssl-images-amazon.com/images/I/71HZUzZaEeL.jpg,👟,Carbono|Velocidade|Elite,R$1.220,acima1000,avancado,neutra|pronada|supinada,asfalto|pista|esteira|mista,leveza,Placa de carbono + espuma ZoomX. O tênis de corrida mais rápido do mundo para bater seu PR.,https://amzn.to/46AElXp,,-,-
masculino,NIKE,ZoomX Ultrafly Trail,https://images-na.ssl-images-amazon.com/images/I/61jBJ9a4NJL.jpg,👟,Trail|Carbono,R$2.171,acima1000,avancado,neutra,trilha,leveza,Primeiro carbon plate trail da Nike. ZoomX + placa de carbono para voar nas trilhas mais exigentes.,https://amzn.to/47nlgrQ,,-,-
masculino,OLYMPIKUS,Corre Grafeno 3,https://images-na.ssl-images-amazon.com/images/I/51sD2zFgzTL.jpg,👟,Nacional|Acessível,R$600,300a600,iniciante,neutra|naosabe,asfalto|pista|esteira|mista,custo,Melhor custo-benefício nacional para iniciantes. Amortecimento adequado com preço super acessível.,https://amzn.to/3NiTshD,,-,-
feminino,OLYMPIKUS,Pride,https://m.media-amazon.com/images/I/61jqkYeBlqL._AC_SY500_.jpg,👟,Nacional|Acessível,R$285,ate300,iniciante,neutra|naosabe,asfalto|pista|esteira|mista,custo,Melhor custo-benefício nacional para iniciantes. Tênis nacional leve e confortável para iniciantes. Ótimo custo-benefício para treinos diários.,https://amzn.to/4rKTg9U,,-,-
masculino,OLYMPIKUS,Challenger ,https://m.media-amazon.com/images/I/51WUvXlRWbL._AC_SX679_.jpg,👟,Amortecimento|Custo-benefício,"R$249,90",ate300,iniciante|intermediario,neutra,asfalto|esteira|mista,amortecimento|custo,Ótimo custo-benefício nacional com amortecimento EVA e sola antiderrapante Gripper,https://amzn.to/4s630fg,,,
masculino,OLYMPIKUS,Orbita ,https://m.media-amazon.com/images/I/51bmHlqn4bL._AC_SX679_.jpg,👟,Leveza|Versatilidade,"R$229,90",ate300,iniciante,neutra,asfalto|esteira|mista,leveza|custo,Leve e versátil com tecnologia Evasense para treinos diários com excelente custo-benefício,https://amzn.to/47k1FZG,,,
feminino,OLYMPIKUS,Essential ,https://m.media-amazon.com/images/I/519-VwNeLGL._AC_SY625_.jpg,👟,Amortecimento|Leveza|Custo-benefício,"R$249,90",ate300,iniciante|intermediario,neutra,asfalto|esteira|mista,amortecimento|leveza|custo,"Tecnologia Evasense e Hypersox com leveza, amortecimento e ótimo custo-benefício para treinos diários",https://amzn.to/4sz9HX0,,,
unissex,OLYMPIKUS,Challenger 5,https://m.media-amazon.com/images/I/519Fz1ewJdL._AC_SX679_.jpg,👟,Amortecimento|Custo-benefício|Leveza,"R$218,40",ate300,iniciante|intermediario,neutra,asfalto|esteira|mista,amortecimento|custo|leveza,"Tecnologia Eleva+ com cabedal Hypersox tipo meia e solado Gripper antiderrapante, ótimo custo-benefício para iniciantes",https://amzn.to/3NmoBAR,,,
masculino,PUMA,Velocity Nitro 3,https://images-na.ssl-images-amazon.com/images/I/71UQQbuiu+L.jpg,👟,Nitro|Leve,R$843,600a1000,iniciante|intermediario,neutra|naosabe,asfalto|pista|esteira|mista,leveza|custo,Espuma Nitro leve e responsiva com ótimo custo-benefício. Surpreende pela leveza no preço acessível.,https://amzn.to/4csjpWe,,-,-
unissex,PUMA,Aviator Light Pro BDP,https://m.media-amazon.com/images/I/71EwAA8xjIL._AC_SY500_.jpg,👟,Amortecimento|Leveza|Retorno de energia,"R$220,59",ate300,iniciante|intermediario,neutra,asfalto|esteira|mista,amortecimento|leveza|retorno,"Entressola ProFoam leve para amortecimento instantâneo e retorno de energia, cabedal mesh respirável e solado de borracha para tração",https://amzn.to/4biWkmL,,,
masculino,SALOMON,Speedcross 6 Trail,https://m.media-amazon.com/images/I/814NjheLBcL._AC_SX300_SY300_QL70_ML2_.jpg,👟,Trail|Grip Extremo,R$1.741,acima1000,intermediario|avancado,neutra|pronada|supinada,trilha,durabilidade,Grip Contagrip extremo para trilhas. Para corredoras de trail que não abrem mão de performance.,https://amzn.to/409UZJS,,-,-
masculino,SALOMON,Ultra Glide 2,https://images-na.ssl-images-amazon.com/images/I/51gcZC19IXL.jpg,👟,Trail|Conforto,R$1.043,acima1000,intermediario|avancado,neutra|naosabe,trilha,amortecimento|durabilidade,Amortecimento generoso para trilhas longas. Combina o conforto de estrada com grip de trail.,https://amzn.to/3MVPADc,,-,-
masculino,SAUCONY,Endorphin Speed 4,https://m.media-amazon.com/images/I/61HHqi-wpuL._AC_SY500_.jpg,👟,Carbono|Velocidade,R$1.481,acima1000,intermediario|avancado,neutra,asfalto|pista,leveza,Carbon plate + PWRRUN HG. O tênis de competição da Saucony para bater recordes pessoais.,https://amzn.to/4aZuoUF,,-,-
masculino,Skechers,Arch Fit Orvan Drex ,https://m.media-amazon.com/images/I/71gYxjqbteL._AC_SY500_.jpg,👟,Conforto|Amortecimento,"R$399,90",300a600,iniciante,neutra|pronada,esteira|asfalto,amortecimento|conforto,Palmilha Arch Fit com suporte de arco certificado por podólogos para máximo conforto no dia a dia,https://amzn.to/4aY4ult,,,
feminino,Under Armour,Charged Great,https://m.media-amazon.com/images/I/61cNbsYKgPL._AC_SY500_.jpg,👟,Amortecimento|Leveza|Responsividade,"R$269,90",ate300,iniciante|intermediario,neutra,asfalto|esteira|mista,amortecimento|leveza,Tecnologia Charged no solado para amortecimento responsivo e retorno de energia. Cabedal em mesh respirável para conforto em treinos diários,https://amzn.to/4rYjl5o,,,
masculino,Under Armour,Charged Hit SE ,https://m.media-amazon.com/images/I/61FtBlh+DJL._AC_SY625_.jpg,👟,Amortecimento|Durabilidade,"R$469,90",300a600,iniciante|intermediario,neutra,asfalto|esteira|mista,amortecimento|durabilidade,Tecnologia Charged Cushioning com amortecimento responsivo e borracha de alta abrasão para treinos diários,https://amzn.to/4bd2MeK,,,
unissex,OLYMPIKUS,Olympikus Marte,https://m.media-amazon.com/images/I/51D5Mo21ocL._AC_SY500_.jpg,👟,Leveza|Amortecimento|Custo-benefício,"R$189,87",ate300,iniciante|intermediario,neutra,asfalto|esteira|mista,,Tecnologia EVAsense para máxima maciez e leveza no dia a dia. Cabedal respirável e solado de borracha para boa tração no asfalto e esteira,https://amzn.to/4lBTTR7,,,
unissex,OLYMPIKUS,Olympikus Pride,https://m.media-amazon.com/images/I/61rTby9WbrL.jpg,👟,Tênis Olympikus Pride,"R$339,80",300a600,iniciante|intermediario,neutra,asfalto|esteira|mista,amortecimento|leveza|durabilidade,Tecnologia Eleva Pro 2.0 na entressola para amortecimento responsivo e durabilidade. Solado Gripper antiderrapante e cabedal respirável para treinos regulares,https://amzn.to/3OVO4Sa,,,
unissex,NEW BALANCE,530,https://m.media-amazon.com/images/I/71umOc7Na8L._AC_SY500_.jpg,👟,Amortecimento|Estilo|Conforto,"R$699,90",600a1000,iniciante|intermediario,neutra,asfalto|esteira|mista,amortecimento|leveza|custo,Clássico retrô com entressola ENCAP para amortecimento duradouro. Cabedal em couro sintético e mesh para conforto e estilo versátil no dia a dia,https://amzn.to/479rJa7,,,
unissex,MIZUNO,Base Ride,https://m.media-amazon.com/images/I/612YIPVucEL._AC_SY500_.jpg,👟,Amortecimento|Estilo|Conforto,"R$649,90",600a1000,iniciante|intermediario,neutra,asfalto|esteira|mista,amortecimento|leveza|custo,Clássico retrô com entressola ENCAP para amortecimento duradouro. Cabedal em couro sintético e mesh para conforto e estilo versátil no dia a dia,https://amzn.to/4s2XGJx,,,
unissex,MIZUNO,Creation 26,https://m.media-amazon.com/images/I/51ifrRin22L._AC_SY500_.jpg,👟,Amortecimento|Estabilidade|Conforto,"R$699,99",600a1000,iniciante|intermediario,neutra,asfalto|esteira|mista,amortecimento|durabilidade,Tecnologia Wave para absorção de impacto e estabilidade. Espuma AP+ na entressola para conforto duradouro em treinos longos e uso diário,https://amzn.to/46KPFjN,,,
unissex,ASICS,Superblast 2,https://m.media-amazon.com/images/I/61nVPmZFSoL._AC_SY500_.jpg,👟,Leveza|Amortecimento|Responsividade,"R$1.552,85",acima1000,intermediario|avancado,neutra,asfalto|esteira|mista,leveza|amortecimento,Entressola FF BLAST+ Eco para amortecimento máximo com leveza extrema. Ideal para treinos longos e corredores que buscam alto desempenho sem sacrificar o conforto,https://amzn.to/4d7EIN1,,,
unissex,MIZUNO,Neo Zen,https://m.media-amazon.com/images/I/71pGo9F0wnL._AC_SY500_.jpg,👟,Amortecimento|Leveza|Maciez,"R$1.402,88",acima1000,iniciante|intermediario,neutra,asfalto|esteira|mista,amortecimento|leveza,Entressola macia e responsiva para uma pisada suave e confortável. Design minimalista com excelente absorção de impacto para treinos do dia a dia,https://amzn.to/4saqM9C,,,
unissex,OLYMPIKUS,Rua,https://m.media-amazon.com/images/I/61Rx2TlzVUL._AC_SY500_.jpg,👟,Leve|Conforto|Corrida de rua,"R$ 204,90",ate300,iniciante|intermediario,neutra,asfalto|esteira|mista,amortecimento|custo,"Tênis brasileiro leve com tecnologia Hypersox e amortecimento suave, ideal para treinos de rua e esteira",https://amzn.to/4un2UBh,,,
unissex,MIZUNO,Wave Dynasty 7,https://m.media-amazon.com/images/I/61MzvFVQufL._AC_SY500_.jpg,👟,Estabilidade|Amortecimento|Versátil,"R$379,99",300a600,iniciante|intermediario,neutra|pronada,asfalto|esteira|mista,amortecimento|durabilidade|custo,"Tecnologia Mizuno Wave para estabilidade e amortecimento, cabedal mesh respirável e solado X10 de alta durabilidade",https://amzn.to/4105W0O,,,
unissex,MIZUNO,Enigma 2,https://m.media-amazon.com/images/I/51tKTairIAL._AC_SY500_.jpg,👟,Maciez|Conforto|Treino diário,"R$399,99",300a600,iniciante|intermediario,neutra,asfalto|esteira|mista,amortecimento|custo,"SoftierFoam na entressola para maciez superior, cabedal respirável e solado de borracha resistente. Ideal para treinos leves e caminhada",https://amzn.to/47GParh,,,
unissex,MIZUNO,Wave Prophecy Beta 2,https://m.media-amazon.com/images/I/5178yONIZbL._AC_SY500_.jpg,👟,,"R$1.299,99",acima1000,,,,,,https://amzn.to/40Z6STb,,https://tidd.ly/3NAinxj,
